KEYS,ENG,LT,ES,FR,RO,PL,DE,PT,NL,GR,IT
DLC includes:,DLC includes:,Šis DLC įtraukia:,,Le DLC comprend :,DLC-ul include:,DLC zawiera:,DLC enthält:,O DLC inclui:,DLC bevat:,Το Πρόσθετο Περιεχόμενο περιλαμβάνει:,Il DLC include:
Includes:,Includes:,Įtraukia:,Incluye:,Comprend:,Include:,Zawiera:,Enthält:,Inclui:,Bevat:,Περιλαμβάνει:,Includere:
Base game;,Base game;,pagrindinį žaidimą;,El juego base;,Le jeu de base ;,Jocul de bază;,Podstawową wersję gry;,Das Basisspiel;,O jogo base;,De basis game;,Το βασικό παιχνίδι.,Il gioco base;
Digital soundtrack;,Digital soundtrack;,skaitmeninį garso takelį;,Banda sonora digital;,Bande-son numérique ;,Coloană sonoră digitală;,Cyfrowa ścieżka dźwiękowa;,Digitaler Soundtrack;,Trilha sonora digital;,Digitale soundtrack;,Ψηφιακό soundtrack;,Colonna sonora digitale;
Digital artbook;,Digital artbook;,skaitmeninį artbook;,Libro de arte digital;,Artbook numérique ;,Cartea de artă digitală;,Cyfrowy album z grafikami;,Digitales Kunstbuch;,Artbook digital;,Digitaal artbook;,Ψηφιακό βιβλίο τέχνης.,Artbook digitale;
[character name] outfit;,[character name] outfit;,[character name] aprangą;,[character name] outfit;,Set d'équipement [character name] ;,[character name] outfit;,Zestaw ze strojem [character name];,[character name] Outfit;,Roupa [character name];,[character name] outfit;,Στολής του [character name].,[character name] outfit;
[character name] skin;,[character name] skin;,[character name] skiną;,Skin de [character name];,Skin de [character name] ;,Skinul [character name];,skórkę do [character name];,[character name] Skin;,Skin de [character name];,[character name] skin;,Στολή [character name].,Skin [character name];
weapon skin;,weapon skin;,ginklo skinąl,skin de arma;,skin d'arme ;,Skinul pentru armă;,skórki do broni;,Waffen Skin;,Skin de arma;,weapon skin;,Εμφάνιση όπλου.,Skin arma;
3-day Early Access;,3-day Early Access;,išankstinę x dienų prieigą;,Acceso temprano de 3 días;,Accès anticipé de 3 jours ;,3 zile Early Access;,3-dniowy wczesny dostęp;,3 Tage Early Access;,3 dias de Acesso Prévio;,3-day Early Access;,Πρόσβαση 3 ημέρες νωρίτερα.,Accesso anticipato di 3 giorni;
expansion;,expansion;,plėtinį;,expansión;,expansion ;,expansiune;,ekspansja;,Erweiterung;,expansão;,uitbreiding;,επέκταση.,espansione;
Season Pass;,Season Pass;,sezono pasą;,,Pass de saison ;,Pasul de sezon;,Przekaz sezonu;,Saisonkarte;,Passe de temporada;,Seizoenspas;,Εποχιακό πάσο.,Pass stagionale;
[title] pack;,[title] pack;,[title] rinkinį;,[Título] Pack;,pack [title] ;,[title] pack-ul;,paczkę [title];,[title] Pack;,Pacote [title];,[title] pack;,Πακέτο [title].,"Pacchetto [title],"
weapon;,weapon;,ginklą;,arma;,arme ;,armă;,broń;,Waffe;,arma;,wapen;,όπλο.,arma;
cosmetic items;,cosmetic items;,kosmetiniai priedai;,Objetos cosméticos;,Articles cosmétiques ;,Articole cosmetice;,Przedmioty kosmetyczne;,Kosmetische Gegenstände;,Itens cosméticos;,Cosmetische items;,Διακοσμητικά αντικείμενα.,Articoli cosmetici;
vehicle skin;,vehicle skin;,transporto priemonės skiną;,Skin de vehículo;,Skin de véhicule ;,Skin pentru vehicule;,Skin pojazdu;,Fahrzeug-Skin;,Skin de veículo;,Voertuig skin;,Εμφάνιση οχήματος.,Skin per veicolo;
online access;,online access;,prieigą internetu;,Acceso en linea;,accès en ligne;,acces online;,dostęp online;,Online-Zugang;,acesso online;,online toegang;,online πρόσβαση.,accesso online;
upgrade;,upgrade;,papildymą;,,amélioration ;,Upgrade;,aktualizację;,Upgrade;,Upgrade;,upgrade;,Αναβάθμιση.,Aggiornamenti;
